,Objname,ObsSMA,ObsEcc,ObsSin(Inc),Obs_h,PropSMA,PropEcc,PropSin(Inc),Prop_h,0_2PE_a,0_2PE_e,0_2PE_sinI,0_2PE_h,1_3PE_a,1_3PE_e,1_3PE_sinI,1_3PE_h,2_4PE_a,2_4PE_e,2_4PE_sinI,2_4PE_h,3_5PE_a,3_5PE_e,3_5PE_sinI,3_5PE_h,4_6PE_a,4_6PE_e,4_6PE_sinI,4_6PE_h,RMS_err_a,RMS_err_e,RMS_err_sinI,RMS_err_h,Delta_a,Delta_e,Delta_sinI,Delta_h
0,1,2.763404103457814,0.11794762285731557,0.1687857691831819,1.6501656575505583,2.763404103457814,0.1149332002777404,0.16750637435565813,1.808871437678423,2.7634171406525327,0.1144323346808293,0.1677055632155102,1.8088505509134587,2.7633881391993773,0.1150199683727524,0.1676943497720219,1.8087322503795393,2.763371385776936,0.11467918874060697,0.16763813559347712,1.8088130169424819,2.763387110814036,0.114861347616403,0.1676730657086458,1.8087689975582486,2.763416862808665,0.11491301360531868,0.16770641112703888,1.8087588334727838,1.973232683842804e-05,0.0002563151248610723,0.00017898195434355442,9.632863422478124e-05,1.303719471890119e-05,8.676809501199922e-05,0.0002000367713807516,-2.0886764964256344e-05
1,2,2.7671349477113907,0.2867089223418955,0.5464963367834444,1.5843254256436667,2.7671349477113907,0.2792959556850066,0.5452420100184052,1.5090220226298763,2.7671149464380727,0.2762040432782106,0.5462288793189961,1.5082293648014973,2.7675153409258844,0.2767830087061612,0.5462875410873597,1.508160755352601,2.767462343217604,0.2779014412154585,0.5461126592373043,1.5079401337254048,2.766994959281078,0.2773053963264577,0.5461607044236183,1.5079838901044782,2.766829245439908,0.2759878528051788,0.546264085211171,1.5083555215122766,0.00027031000923646197,0.002558334093858659,0.0009709493709565292,0.0009013893983695492,0.00038039321449367947,-0.0013945144695480804,0.0010455310689544417,-0.0006665011175996938
2,3,2.6658822808627423,0.23584015019419505,0.23004380634291616,1.5858898090013382,2.6658822808627423,0.2327922137899802,0.22885584145222954,1.7332641654339818,2.665857158305802,0.23343284701626354,0.2289697702040491,1.7328334643820356,2.6658687850125093,0.23337688577964685,0.22898611406456237,1.7328509245052806,2.665882687983141,0.23339883170429915,0.2290212958782434,1.7328320721239476,2.665896233868692,0.23341110683765487,0.2290385908821586,1.7328245192677456,2.665900576079826,0.23337690078186177,0.22903311877810514,1.7328399505879206,1.6388092817063615e-05,0.0006074742863738773,0.00015630130230537032,0.0004280708065221176,1.8295217083519333e-05,0.0006406332262833547,0.0001827494299290744,-0.00041324092870120843
3,4,2.3583943622179326,0.10263428415382203,0.11376951623146714,1.526974491985735,2.3583943622179326,0.09790143095286173,0.11138770458281683,1.730800331945128,2.3584013882290256,0.0987267613072762,0.11200805752258298,1.7304469549255383,2.358397336689345,0.09851050920537682,0.1120176496775308,1.7304764291872972,2.3583837834187404,0.09812043031721929,0.11206162613548551,1.7305240303033727,2.358382533129734,0.09772658816040931,0.1121093017588402,1.730575476001936,2.358393431360916,0.09732115094387266,0.1121432385991897,1.730633536289169,7.885646794127127e-06,0.0005417383361178503,0.0006822569876114889,0.0002773127828920228,7.026011092925444e-06,0.0008253303544144691,0.0007555340163728774,-0.0001667956559590067
4,6,2.422071847023654,0.16436793605940084,0.24979252456208037,1.5329829248740992,2.422071847023654,0.15843528471329224,0.2472565413067328,1.6950830451635863,2.4220760055932864,0.15637912160656633,0.24828534110186504,1.6950850008182108,2.422073199959632,0.15817575467278328,0.24871358612552427,1.6945326302473322,2.4220681679800697,0.1604636866450291,0.249320943427989,1.6936824291549717,2.4220675436473034,0.16072837709334598,0.24963152408274533,1.6934397767653442,2.422073424701683,0.16000405100357742,0.24954981649551014,1.693721615684555,3.2762055741808227e-06,0.0017960443923832623,0.0019153495252040124,0.0011677762511067382,4.158569632206621e-06,0.002293092380053735,0.0023749827760125297,1.9556546244636763e-06
5,7,2.382675896769703,0.21750771032155072,0.11692573054384153,1.5059256972789266,2.382675896769703,0.2145994735576921,0.11435416128925031,1.707524206487258,2.3830761936139244,0.21156317885297005,0.11145161667202876,1.7090153602201743,2.381992710297278,0.21236844716182504,0.11234160971915208,1.7083335618965196,2.3819977301709505,0.21502144127839215,0.11539687778127028,1.7068938608723434,2.3830922231917113,0.21664979340337318,0.11760825292314363,1.706251579429583,2.3829725469262155,0.2170748789158679,0.11901709029329682,1.7058510162282101,0.0005192726182425627,0.0022228839028240184,0.0030296668469833366,0.0012405705541268315,0.0004163264220085061,0.0024754053581758084,0.004662929004046509,0.001491153732916306
6,8,2.1985228188486,0.15444706198289126,0.10105630791029359,1.4633466610612313,2.1985228188486,0.14577808372755066,0.09779337765015488,1.687262072903082,2.1984966945857027,0.14552476574169518,0.09911089459556013,1.6867644814977878,2.198547367546391,0.14559915378785765,0.09839933540783183,1.6868895445286858,2.1985575073614805,0.14519170219803532,0.09820014625737825,1.6869975201246454,2.198518914304169,0.14576226136986015,0.09923231041463834,1.686707680611125,2.1985167003875876,0.1477906424481417,0.09995845597713666,1.6862201559324803,2.254368928722254e-05,0.0009476995488300145,0.0013436210825981871,0.0006081619119841238,3.468851288035424e-05,0.002012558720591029,0.0021650783269817897,-0.00026455277843662195
7,9,2.38328275978681,0.13082243578318695,0.08473029566683483,1.5299524436180618,2.38328275978681,0.12766017231679055,0.08169716973867418,1.7358091309975925,2.3832807430642307,0.12634784202926147,0.08238458569521766,1.7358112570042572,2.3832797021033914,0.12678692506025654,0.08234166687757671,1.735735873153832,2.3832858122492935,0.12675255788301976,0.0824871528620393,1.735717900923341,2.3832902339289683,0.12735964542366407,0.08242118655133611,1.7356148075235198,2.383284687126416,0.12723728426245373,0.08232548969553564,1.7356473886291983,4.057377577353571e-06,0.0008458943474208198,0.0006972771196265353,0.00012459242700432649,7.474142158514496e-06,-0.00030052689312648484,0.0007899831233651178,2.1260066647155185e-06
8,10,3.1373512352688113,0.13779333287541962,0.09100260069768144,1.753891206688832,3.1373512352688113,0.1355282286579761,0.08868960847167084,1.907299659107689,3.1378345038548936,0.13517214470329889,0.08886212018883202,1.907451080525133,3.137798975843767,0.13520000608438135,0.08885010348816841,1.907438956293447,3.137205093517652,0.13545437817423095,0.08886600301724241,1.9072296368909982,3.137137292439707,0.13555744097739295,0.08888472996094375,1.9071906332032909,3.1370201540561964,0.13566532062055223,0.08889621769604805,1.9071400134118413,0.0003495036090398326,0.00022787158680002018,0.00018297199007480936,0.00013008355659629054,0.00048326858608227496,0.00013709196257613576,0.00020660922437720775,0.00015142141744406423
9,11,2.44902377187081,0.07856188180192981,0.0714469022436926,1.5597025342484714,2.44902377187081,0.07462475330865352,0.06786050208448122,1.761116010425231,2.4490178926369106,0.07468056418518891,0.06851906301945684,1.7609509291833578,2.4490293278957784,0.07462562177093537,0.06859597148440563,1.7609520971555994,2.4490379384417,0.07457897497991756,0.0686597102308672,1.7609526985719552,2.4490335073799065,0.0744972258525793,0.06854839559591251,1.760972462496775,2.449011879752905,0.07438313385920202,0.06863494856915878,1.7609708669026753,1.0023264349690604e-05,0.00012637600559778058,0.0007329824343392655,0.00015650098255535504,1.416657089015061e-05,5.58108765353893e-05,0.0007992081463859824,-0.00014354792845594488
